method,task,metric,value,cost_value
ours,flocking,spatial_variance,0.11450739219203193,0.11450739219203193
ours,flocking,mean_dtw_distance,365.74143519624084,365.74143519624084
ours,flocking,spatial_variance,0.3012578027693595,0.3012578027693595
ours,flocking,mean_dtw_distance,575.9785731245104,575.9785731245104
ours,flocking,spatial_variance,0.2905195893471565,0.2905195893471565
ours,flocking,mean_dtw_distance,595.7263310327857,595.7263310327857
ours,flocking,spatial_variance,0.09956624991365642,0.09956624991365642
ours,flocking,mean_dtw_distance,425.50796026736026,425.50796026736026
ours,flocking,spatial_variance,0.13250564242680218,0.13250564242680218
ours,flocking,mean_dtw_distance,604.5869864296836,604.5869864296836
ours,flocking,spatial_variance,0.1458069304918302,0.1458069304918302
ours,flocking,mean_dtw_distance,423.0103356428895,423.0103356428895
ours,flocking,spatial_variance,0.165267904961406,0.165267904961406
ours,flocking,mean_dtw_distance,466.0166144102244,466.0166144102244
ours,flocking,spatial_variance,0.3682194995645896,0.3682194995645896
ours,flocking,mean_dtw_distance,124.6128299806237,124.6128299806237
ours,flocking,spatial_variance,0.1904609144478463,0.1904609144478463
ours,flocking,mean_dtw_distance,402.1684400016743,402.1684400016743
ours,flocking,spatial_variance,0.09807839635727826,0.09807839635727826
ours,flocking,mean_dtw_distance,440.48543747293206,440.48543747293206
ours,flocking,spatial_variance,0.2788353664338758,0.2788353664338758
ours,flocking,mean_dtw_distance,108.32583850799583,108.32583850799583
ours,flocking,spatial_variance,0.33776731987326036,0.33776731987326036
ours,flocking,mean_dtw_distance,120.3648172006873,120.3648172006873
ours,flocking,spatial_variance,0.11198358524471046,0.11198358524471046
ours,flocking,mean_dtw_distance,393.859973570852,393.859973570852
ours,flocking,spatial_variance,0.09541710080922694,0.09541710080922694
ours,flocking,mean_dtw_distance,423.35357386359493,423.35357386359493
ours,flocking,spatial_variance,0.16502196457089763,0.16502196457089763
ours,flocking,mean_dtw_distance,493.4996664641197,493.4996664641197
ours,flocking,spatial_variance,0.17266030378640695,0.17266030378640695
ours,flocking,mean_dtw_distance,378.0210148918669,378.0210148918669
ours,flocking,spatial_variance,0.2552173754149847,0.2552173754149847
ours,flocking,mean_dtw_distance,1083.78432146742,1083.78432146742
ours,flocking,spatial_variance,0.18939712575844941,0.18939712575844941
ours,flocking,mean_dtw_distance,623.9921231319432,623.9921231319432
ours,flocking,spatial_variance,0.3106971298722466,0.3106971298722466
ours,flocking,mean_dtw_distance,1195.1110231162058,1195.1110231162058
ours,flocking,spatial_variance,0.09688266653657646,0.09688266653657646
ours,flocking,mean_dtw_distance,357.32553205003643,357.32553205003643
ours,flocking,spatial_variance,0.12270321259807725,0.12270321259807725
ours,flocking,mean_dtw_distance,446.09221464548364,446.09221464548364
ours,flocking,spatial_variance,0.283910752195451,0.283910752195451
ours,flocking,mean_dtw_distance,527.9523682819945,527.9523682819945
ours,flocking,spatial_variance,0.1644567285739209,0.1644567285739209
ours,flocking,mean_dtw_distance,439.75808917715045,439.75808917715045
ours,flocking,spatial_variance,0.15931177256111606,0.15931177256111606
ours,flocking,mean_dtw_distance,450.95687186645955,450.95687186645955
ours,flocking,spatial_variance,0.1838577160136832,0.1838577160136832
ours,flocking,mean_dtw_distance,400.3398459141025,400.3398459141025
ours,flocking,spatial_variance,0.32008765708410203,0.32008765708410203
ours,flocking,mean_dtw_distance,579.9007499109807,579.9007499109807
ours,flocking,spatial_variance,0.11371771682333282,0.11371771682333282
ours,flocking,mean_dtw_distance,407.1741698076102,407.1741698076102
ours,flocking,spatial_variance,0.14251622099318836,0.14251622099318836
