method,task,metric,value
ours w/o vlm,flocking,spatial_variance,0.11450739219203193
ours w/o vlm,flocking,mean_dtw_distance,365.74143519624084
ours w/o vlm,flocking,spatial_variance,0.3012578027693595
ours w/o vlm,flocking,mean_dtw_distance,575.9785731245104
ours w/o vlm,flocking,spatial_variance,0.2905195893471565
ours w/o vlm,flocking,mean_dtw_distance,595.7263310327857
ours w/o vlm,flocking,spatial_variance,0.09956624991365642
ours w/o vlm,flocking,mean_dtw_distance,425.50796026736026
ours w/o vlm,flocking,spatial_variance,0.13250564242680218
ours w/o vlm,flocking,mean_dtw_distance,604.5869864296836
ours w/o vlm,flocking,spatial_variance,0.1458069304918302
ours w/o vlm,flocking,mean_dtw_distance,423.0103356428895
ours w/o vlm,flocking,spatial_variance,0.165267904961406
ours w/o vlm,flocking,mean_dtw_distance,466.0166144102244
ours w/o vlm,flocking,spatial_variance,0.3682194995645896
ours w/o vlm,flocking,mean_dtw_distance,124.6128299806237
ours w/o vlm,flocking,spatial_variance,0.1904609144478463
ours w/o vlm,flocking,mean_dtw_distance,402.1684400016743
ours w/o vlm,flocking,spatial_variance,0.09807839635727826
ours w/o vlm,flocking,mean_dtw_distance,440.48543747293206
ours w/o vlm,flocking,spatial_variance,0.2788353664338758
ours w/o vlm,flocking,mean_dtw_distance,108.32583850799583
ours w/o vlm,flocking,spatial_variance,0.33776731987326036
ours w/o vlm,flocking,mean_dtw_distance,120.3648172006873
ours w/o vlm,flocking,spatial_variance,0.11198358524471046
ours w/o vlm,flocking,mean_dtw_distance,393.859973570852
ours w/o vlm,flocking,spatial_variance,0.09541710080922694
ours w/o vlm,flocking,mean_dtw_distance,423.35357386359493
ours w/o vlm,flocking,spatial_variance,0.16502196457089763
ours w/o vlm,flocking,mean_dtw_distance,493.4996664641197
ours w/o vlm,flocking,spatial_variance,0.17266030378640695
ours w/o vlm,flocking,mean_dtw_distance,378.0210148918669
ours w/o vlm,flocking,spatial_variance,0.2552173754149847
ours w/o vlm,flocking,mean_dtw_distance,1083.78432146742
ours w/o vlm,flocking,spatial_variance,0.18939712575844941
ours w/o vlm,flocking,mean_dtw_distance,623.9921231319432
ours w/o vlm,flocking,spatial_variance,0.3106971298722466
ours w/o vlm,flocking,mean_dtw_distance,1195.1110231162058
ours w/o vlm,flocking,spatial_variance,0.09688266653657646
ours w/o vlm,flocking,mean_dtw_distance,357.32553205003643
ours w/o vlm,flocking,spatial_variance,0.12270321259807725
ours w/o vlm,flocking,mean_dtw_distance,446.09221464548364
ours w/o vlm,flocking,spatial_variance,0.283910752195451
ours w/o vlm,flocking,mean_dtw_distance,527.9523682819945
ours w/o vlm,flocking,spatial_variance,0.1644567285739209
ours w/o vlm,flocking,mean_dtw_distance,439.75808917715045
ours w/o vlm,flocking,spatial_variance,0.15931177256111606
ours w/o vlm,flocking,mean_dtw_distance,450.95687186645955
ours w/o vlm,flocking,spatial_variance,0.1838577160136832
ours w/o vlm,flocking,mean_dtw_distance,400.3398459141025
ours w/o vlm,flocking,spatial_variance,0.32008765708410203
ours w/o vlm,flocking,mean_dtw_distance,579.9007499109807
ours w/o vlm,flocking,spatial_variance,0.11371771682333282
ours w/o vlm,flocking,mean_dtw_distance,407.1741698076102
ours w/o vlm,flocking,spatial_variance,0.14251622099318836
ours w/o vlm,flocking,mean_dtw_distance,650.6155507293969
ours w/o vlm,flocking,spatial_variance,0.10818753594664046
ours w/o vlm,flocking,mean_dtw_distance,390.35297182533526
ours w/o vlm,flocking,spatial_variance,0.42297411865948475
ours w/o vlm,flocking,mean_dtw_distance,565.655014888817
ours w/o vlm,flocking,spatial_variance,0.13780230136802707
ours w/o vlm,flocking,mean_dtw_distance,646.2339361713795
ours w/o vlm,flocking,spatial_variance,0.10761924274970583
ours w/o vlm,flocking,mean_dtw_distance,383.26270627817104
ours w/o vlm,flocking,spatial_variance,0.5463525450780206
ours w/o vlm,flocking,mean_dtw_distance,874.8203896925462
ours w/o vlm,flocking,spatial_variance,0.3349940340547449
ours w/o vlm,flocking,mean_dtw_distance,1245.1472056201656
ours w/o vlm,flocking,spatial_variance,0.26191462785509045
ours w/o vlm,flocking,mean_dtw_distance,1104.013428195328
ours w/o vlm,flocking,spatial_variance,0.1062729838218901
ours w/o vlm,flocking,mean_dtw_distance,364.8716394575876
ours w/o vlm,flocking,spatial_variance,0.12868935824770242
ours w/o vlm,flocking,mean_dtw_distance,405.3583486562117
ours w/o vlm,flocking,spatial_variance,0.3327075233815024
ours w/o vlm,flocking,mean_dtw_distance,116.83969422048473
ours w/o vlm,flocking,spatial_variance,0.11243285048870275
ours w/o vlm,flocking,mean_dtw_distance,405.17052000158435
ours w/o vlm,flocking,spatial_variance,0.11316259214980243
ours w/o vlm,flocking,mean_dtw_distance,372.85586198125577
ours w/o vlm,flocking,spatial_variance,0.4880582553250687
ours w/o vlm,flocking,mean_dtw_distance,792.2665183623385
ours w/o vlm,flocking,spatial_variance,0.1004149740957124
ours w/o vlm,flocking,mean_dtw_distance,393.7975777393728
ours w/o vlm,flocking,spatial_variance,0.19490733759630674
ours w/o vlm,flocking,mean_dtw_distance,456.01526497601475
ours w/o vlm,flocking,spatial_variance,0.1789220700464514
